Date,Type,Amount
August 25 2025,Deposit,$10003.87
August 26 2025,Deposit,$10000.87
August 26 2025,Commission,$1.00
August 26 2025,Commission,$1.00
August 26 2025,Commission,$1.00
August 27 2025,Deposit,$10003.87
August 27 2025,Commission,$1.00
August 27 2025,Commission,$1.00
August 27 2025,Commission,$1.00
August 27 2025,Commission,$1.00
August 27 2025,Commission,$1.00
August 28 2025,Deposit,$10000.00
August 28 2025,Commission,$1.00
August 28 2025,Commission,$1.00
September 2 2025,Deposit,$10000.00
September 2 2025,Deposit,$10000.00
September 3 2025,Other Fee,-$0.27
September 3 2025,Other Fee,$0.27
September 4 2025,Credit Interest,$2.56
September 4 2025,Foreign Tax Withholding,-$0.77
September 8 2025,Deposit,$12000.00
September 8 2025,Commission,$1.00
September 10 2025,Commission,$1.00
September 10 2025,Commission,$1.01
September 10 2025,Commission,$0.86
September 11 2025,Commission,$1.00
September 11 2025,Commission,$0.02
September 11 2025,Commission,$1.00
September 11 2025,Commission,$1.00
September 11 2025,Commission,$1.14
September 11 2025,Commission,$1.00
September 11 2025,Commission,$1.01
September 11 2025,Commission,$0.01
September 11 2025,Commission,$1.00
September 12 2025,Commission,$0.03
September 12 2025,Commission,$0.02
September 12 2025,Commission,$0.02
September 15 2025,Commission,$1.00
September 15 2025,Commission,$1.00
September 16 2025,Deposit,$12000.00
September 16 2025,Commission,$1.00
September 16 2025,Commission,$1.00
September 18 2025,Commission,$1.00
September 19 2025,Commission,$2.01
September 19 2025,Commission,$0.02
September 19 2025,Commission,$0.02
September 23 2025,Deposit,$12000.00
